name,affiliation,departments,email,website,interests,title,year,venue
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Trusting virtual agents: The effect of personality,2019,"ACM Transactions on Interactive Intelligent Systems (TiiS) 9 (2-3), 1-36, 2019"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Makers' marks: Physical markup for designing and fabricating functional objects,2015,"Proceedings of the 28th Annual ACM Symposium on User Interface Software …, 2015"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Confiding in and listening to virtual agents: The effect of personality,2017,"Proceedings of the 22nd international conference on intelligent user …, 2017"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Beyond the artifact: power as a lens for creativity support tools,2023,"Proceedings of the 36th Annual ACM Symposium on User Interface Software and …, 2023"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,What we can learn from visual artists about software development,2021,"Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems …, 2021"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Editing spatial layouts through tactile templates for people with visual impairments,2019,"Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems …, 2019"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Supporting visual artists in programming through direct inspection and control of program execution,2020,"Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems …, 2020"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Understanding Version Control as Material Interaction with Quickpose,2023,"Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems …, 2023"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Direct and immediate drawing with CNC machines,2017,"Proceedings of the 1st annual ACM symposium on computational fabrication, 1-2, 2017"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Reimagining misuse as creative practice: Impressions and implications of usage norms on digital artists,2025,"Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems …, 2025"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Automated accessory rigs for layered 2D character illustrations,2021,"The 34th Annual ACM Symposium on User Interface Software and Technology …, 2021"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Toward appropriating tools for queer use,2024,"Proceedings of the Halfway to the Future Symposium, 1-4, 2024"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Dynamic Abstractions: Building the Next Generation of Cognitive Tools and Interfaces,2024,"Adjunct Proceedings of the 37th Annual ACM Symposium on User Interface …, 2024"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,"Computational Scaffolding of Composition, Value, and Color for Disciplined Drawing",2025,"Proceedings of the 38th Annual ACM Symposium on User Interface Software and …, 2025"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,"Expanding Norms, Negotiating Bodies: How Artists with Disabilities Perceive and Use Creative Tools",2025,"Proceedings of the 27th International ACM SIGACCESS Conference on Computers …, 2025"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Laser cut layered gels for lighting design,2020,"Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing …, 2020"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Rethinking Power Dynamics in Software Tools for Artists,2023,"Stanford University, 2023"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,TacDes: Design Interface toward Ubiquitous Tactile Sensing,2025,"Proceedings of the Extended Abstracts of the CHI Conference on Human Factors …, 2025"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Extending Computational Abstractions with Manual Craft for Visual Art Tools,2022,"Adjunct Proceedings of the 35th Annual ACM Symposium on User Interface …, 2022"
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Summer School for Computational Fabrication and Smart Matter,2017,"IEEE Pervasive Computing 16 (4), 50-53, 2017"
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Sarcasm detection on facebook: A supervised learning approach,2018,"Proceedings of the 20th international conference on multimodal interaction …, 2018"
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Sarcasm detection on flickr using a cnn,2018,"Proceedings of the 2018 international conference on computing and big data …, 2018"
